market,opening_price,trade_price,high_price,low_price,candle_acc_trade_volume,candle_date_time_kst
KRW-POLYX,302.7,303.0,303.0,302.6,16866.53675902,2024-09-14T22:40:00
KRW-ZRX,397.3,397.3,397.3,397.3,124.5916181,2024-09-14T22:30:00
KRW-ZRX,397.3,397.3,397.4,397.0,21148.47428862,2024-09-14T22:25:00
KRW-ZRX,397.4,397.4,397.4,397.2,990.84705256,2024-09-14T22:15:00
KRW-LOOM,60.87,60.87,60.87,60.87,11536.68438731,2024-09-14T22:50:00
KRW-LOOM,60.87,60.87,60.87,60.87,16420.24396049,2024-09-14T22:45:00
KRW-LOOM,60.87,60.87,60.87,60.87,100.0,2024-09-14T22:40:00
BTC-BCH,0.00573581,0.00573581,0.00573581,0.00573581,5.42179292,2024-09-14T17:55:00
BTC-BCH,0.00589142,0.00573581,0.00589142,0.00573581,0.1377656,2024-09-13T20:50:00
BTC-BCH,0.00602509,0.00602509,0.00602509,0.00602509,0.03846747,2024-09-13T16:10:00
USDT-BCH,394.72,394.72,394.72,394.72,0.00147054,2024-09-14T03:10:00
USDT-BCH,340.01,340.01,340.01,340.01,0.15673759,2024-09-13T20:50:00
USDT-BCH,340.0,340.0,340.0,340.0,0.24364482,2024-09-12T08:15:00
KRW-BCH,442950.0,442750.0,443050.0,442750.0,30.70080494,2024-09-14T22:50:00
KRW-BCH,443200.0,442500.0,443450.0,442500.0,42.39601745,2024-09-14T22:45:00
KRW-BCH,443200.0,443350.0,443350.0,443200.0,1.93569523,2024-09-14T22:40:00
BTC-HIFI,7.56e-06,7.56e-06,7.56e-06,7.56e-06,392.84615348,2024-09-13T16:05:00
BTC-HIFI,7.56e-06,7.56e-06,7.56e-06,7.56e-06,436.49572608,2024-09-13T16:00:00
BTC-HIFI,7.56e-06,7.56e-06,7.56e-06,7.56e-06,20.0,2024-09-13T14:30:00
BTC-LOOM,7.9e-07,7.9e-07,7.9e-07,7.9e-07,993.08951966,2024-09-13T17:45:00
BTC-LOOM,7.7e-07,7.7e-07,7.7e-07,7.7e-07,93.30632212,2024-09-13T14:35:00
BTC-LOOM,7.6e-07,7.6e-07,7.6e-07,7.6e-07,1091.92316072,2024-09-12T07:30:00
KRW-BAT,231.9,232.3,232.3,231.9,44.0,2024-09-14T22:50:00
KRW-BAT,231.4,230.7,231.6,230.7,17690.54923268,2024-09-14T22:25:00
KRW-BAT,231.7,231.6,231.7,231.6,11163.93288991,2024-09-14T22:20:00
KRW-IOST,6.494,6.494,6.494,6.494,159525.22728919,2024-09-14T22:50:00
KRW-IOST,6.49,6.49,6.49,6.49,55295.8692434,2024-09-14T22:45:00
KRW-IOST,6.49,6.49,6.49,6.49,17574.52642055,2024-09-14T22:35:00
USDT-DGB,0.006544,0.006544,0.006544,0.006544,256.48640148,2024-09-14T13:40:00
USDT-DGB,0.006543,0.006543,0.006543,0.006543,121735.83211,2024-09-13T22:50:00
USDT-DGB,0.006947,0.006543,0.006947,0.006543,215.92054554,2024-09-13T22:20:00
KRW-CVC,143.7,143.7,143.7,143.7,1276.88761,2024-09-14T22:50:00
KRW-CVC,143.5,143.7,143.7,143.5,139.45028008,2024-09-14T22:45:00
